z,p-value,lower bound,upper bound
ann vs ols,0.20464439729655068,-0.645580740241747,2.193495549140822
ann vs baseline,0.001064295061866182,-10.190217297201885,-5.159379446373903
ols vs baseline,0.0002564362786663308,-10.366387778504121,-6.531123773970739
