Outer fold,h*,ann E_test,lambda*,regression E_test,baseline E_test
1,21,0.580420958925905,1e-05,0.024904062720828502,9.45012636734694
2,7,0.30335308119698307,0.01,0.016801961379781974,7.632215328798185
